Yas,Gelir,Vade,Kriz_Tepkisi,Risk_Profili
72,37000,long,sell,Defansif
21,57000,long,buy,Agresif
72,30000,medium,hold,Defansif
28,72000,medium,sell,Dengeli
73,46000,long,hold,Dengeli
34,40000,short,sell,Defansif
55,68000,short,sell,Defansif
41,42000,medium,buy,Agresif
22,73000,short,buy,Agresif
69,74000,short,hold,Dengeli
51,17000,long,buy,Dengeli
23,77000,long,hold,Agresif
39,17000,medium,hold,Dengeli
28,79000,medium,sell,Dengeli
65,100000,medium,sell,Dengeli
33,71000,medium,hold,Agresif
50,17000,short,buy,Dengeli
26,76000,long,hold,Agresif
23,106000,short,sell,Dengeli
33,42000,medium,sell,Defansif
46,49000,short,buy,Agresif
20,20000,long,sell,Dengeli
37,57000,long,hold,Agresif
53,81000,long,sell,Dengeli
36,67000,long,sell,Dengeli
43,128000,medium,hold,Agresif
20,50000,short,hold,Dengeli
36,17000,medium,sell,Defansif
37,54000,medium,sell,Dengeli
49,17000,medium,buy,Agresif
24,36000,short,sell,Defansif
69,90000,short,hold,Defansif
58,58000,medium,buy,Agresif
50,54000,medium,sell,Defansif
57,95000,long,buy,Agresif
56,43000,short,sell,Defansif
35,81000,medium,hold,Agresif
57,53000,short,hold,Defansif
18,59000,short,buy,Agresif
28,19000,medium,sell,Defansif
45,37000,short,hold,Dengeli
74,17000,short,buy,Defansif
42,47000,medium,hold,Dengeli
67,59000,medium,hold,Defansif
40,22000,short,sell,Defansif
48,101000,short,hold,Dengeli
47,56000,short,sell,Defansif
59,51000,short,sell,Defansif
52,69000,medium,hold,Dengeli
24,29000,medium,sell,Defansif
33,54000,medium,buy,Agresif
43,32000,medium,buy,Agresif
65,88000,medium,hold,Dengeli
74,23000,long,buy,Agresif
69,51000,long,hold,Dengeli
66,58000,long,sell,Defansif
19,59000,medium,hold,Agresif
18,35000,medium,sell,Dengeli
65,27000,medium,sell,Defansif
29,35000,short,buy,Agresif
22,63000,short,hold,Agresif
54,46000,medium,buy,Dengeli
49,69000,long,sell,Dengeli
72,61000,medium,hold,Defansif
26,17000,long,sell,Dengeli
58,56000,medium,hold,Dengeli
52,106000,medium,hold,Dengeli
36,83000,short,hold,Dengeli
65,60000,short,sell,Defansif
33,23000,long,sell,Dengeli
20,61000,medium,sell,Dengeli
37,68000,medium,hold,Agresif
41,43000,long,buy,Agresif
71,57000,short,sell,Defansif
73,87000,long,hold,Agresif
50,28000,medium,buy,Agresif
41,23000,medium,hold,Dengeli
69,67000,medium,hold,Defansif
28,61000,short,buy,Agresif
66,75000,short,sell,Defansif
25,64000,medium,sell,Dengeli
53,35000,long,sell,Dengeli
55,60000,long,buy,Agresif
57,21000,short,buy,Defansif
37,43000,medium,hold,Dengeli
52,62000,short,sell,Defansif
65,40000,short,hold,Defansif
42,111000,medium,sell,Dengeli
52,17000,medium,sell,Defansif
42,36000,short,hold,Dengeli
46,26000,short,buy,Agresif
35,32000,long,buy,Agresif
63,33000,short,hold,Defansif
35,17000,medium,sell,Defansif
19,68000,medium,sell,Dengeli
71,36000,short,sell,Defansif
52,54000,short,hold,Dengeli
33,39000,medium,buy,Agresif
58,32000,long,hold,Agresif
53,91000,medium,hold,Dengeli
50,73000,medium,sell,Dengeli
21,17000,long,sell,Dengeli
50,17000,long,hold,Dengeli
31,76000,medium,sell,Dengeli
38,37000,medium,hold,Agresif
65,17000,medium,buy,Dengeli
37,76000,medium,hold,Agresif
73,54000,medium,sell,Defansif
25,56000,medium,sell,Dengeli
24,70000,short,hold,Agresif
20,17000,medium,hold,Agresif
34,17000,medium,hold,Dengeli
50,89000,short,hold,Dengeli
65,17000,short,hold,Defansif
29,19000,medium,hold,Agresif
68,24000,medium,sell,Defansif
39,101000,medium,buy,Agresif
72,62000,medium,sell,Defansif
39,74000,medium,sell,Dengeli
63,54000,short,hold,Defansif
47,34000,medium,hold,Dengeli
55,65000,long,buy,Agresif
55,17000,long,hold,Dengeli
62,22000,medium,buy,Dengeli
68,68000,medium,buy,Dengeli
71,17000,short,hold,Defansif
25,45000,medium,hold,Agresif
44,46000,short,hold,Dengeli
44,36000,long,buy,Agresif
51,17000,short,hold,Dengeli
38,34000,short,sell,Defansif
47,29000,long,hold,Dengeli
50,54000,long,sell,Defansif
45,52000,long,hold,Agresif
64,59000,short,sell,Defansif
50,33000,short,hold,Defansif
22,63000,medium,buy,Agresif
65,17000,short,sell,Defansif
36,17000,short,sell,Defansif
21,17000,medium,sell,Defansif
52,37000,long,hold,Dengeli
66,31000,medium,sell,Defansif
34,69000,medium,sell,Dengeli
61,33000,medium,sell,Defansif
45,56000,medium,hold,Dengeli
47,70000,medium,sell,Dengeli
46,32000,short,hold,Dengeli
63,57000,short,sell,Defansif
70,75000,long,hold,Agresif
23,19000,short,sell,Defansif
52,50000,long,hold,Dengeli
58,32000,short,sell,Defansif
54,20000,medium,hold,Defansif
41,17000,medium,buy,Agresif
46,20000,short,buy,Dengeli
66,51000,short,hold,Defansif
63,17000,medium,hold,Dengeli
70,36000,long,buy,Agresif
48,70000,long,hold,Agresif
52,61000,medium,sell,Defansif
50,36000,long,buy,Agresif
69,92000,medium,hold,Dengeli
38,97000,long,sell,Dengeli
49,50000,medium,sell,Defansif
40,17000,medium,sell,Defansif
50,72000,long,hold,Agresif
20,17000,medium,sell,Dengeli
35,86000,long,sell,Dengeli
42,77000,medium,sell,Dengeli
59,94000,short,hold,Dengeli
48,56000,short,hold,Defansif
71,40000,medium,sell,Defansif
75,38000,medium,sell,Defansif
20,36000,long,sell,Agresif
57,74000,short,buy,Agresif
63,67000,long,hold,Agresif
41,53000,long,hold,Agresif
67,31000,short,sell,Defansif
49,115000,long,hold,Agresif
64,72000,long,hold,Dengeli
39,17000,long,sell,Defansif
40,37000,long,sell,Dengeli
19,73000,long,hold,Agresif
44,30000,medium,buy,Agresif
59,58000,medium,buy,Agresif
19,73000,long,hold,Agresif
43,17000,medium,hold,Defansif
34,47000,medium,sell,Defansif
57,48000,medium,hold,Defansif
50,39000,long,hold,Agresif
26,57000,short,sell,Defansif
60,66000,long,buy,Agresif
71,53000,medium,sell,Defansif
65,40000,short,sell,Defansif
56,65000,medium,hold,Agresif
46,51000,short,hold,Dengeli
59,44000,medium,hold,Dengeli
72,17000,long,sell,Defansif
43,17000,long,buy,Agresif
52,17000,short,hold,Defansif
67,56000,short,hold,Defansif
42,48000,long,buy,Agresif
41,17000,long,hold,Dengeli
30,66000,medium,sell,Dengeli
75,84000,medium,hold,Dengeli
24,35000,medium,sell,Dengeli
74,17000,long,sell,Defansif
53,32000,medium,hold,Dengeli
62,71000,medium,buy,Agresif
37,63000,medium,sell,Defansif
18,26000,long,hold,Agresif
25,88000,short,sell,Dengeli
63,83000,medium,hold,Dengeli
33,31000,medium,hold,Agresif
31,31000,short,hold,Dengeli
29,35000,short,sell,Defansif
68,37000,long,hold,Dengeli
40,73000,long,buy,Agresif
32,60000,long,hold,Agresif
45,71000,long,hold,Dengeli
51,66000,medium,buy,Agresif
19,92000,long,sell,Agresif
49,23000,medium,hold,Defansif
40,59000,medium,buy,Agresif
39,17000,long,sell,Dengeli
68,17000,short,hold,Defansif
42,48000,medium,sell,Defansif
75,60000,medium,hold,Dengeli
39,47000,short,hold,Dengeli
75,35000,short,sell,Defansif
75,40000,long,hold,Dengeli
39,84000,long,sell,Agresif
66,40000,medium,hold,Defansif
69,93000,short,sell,Defansif
59,69000,short,buy,Agresif
23,61000,long,sell,Agresif
32,20000,medium,buy,Agresif
71,73000,medium,hold,Dengeli
60,37000,medium,sell,Defansif
54,20000,medium,hold,Defansif
50,62000,medium,hold,Dengeli
25,17000,long,hold,Dengeli
70,30000,medium,sell,Defansif
61,49000,medium,hold,Defansif
61,105000,medium,sell,Defansif
22,32000,long,sell,Agresif
56,38000,medium,hold,Defansif
21,68000,short,sell,Defansif
23,19000,medium,sell,Defansif
62,61000,medium,sell,Defansif
49,80000,long,sell,Dengeli
69,42000,medium,sell,Defansif
47,75000,long,buy,Agresif
64,57000,short,sell,Defansif
52,31000,long,hold,Dengeli
72,45000,medium,sell,Defansif
57,40000,long,buy,Agresif
69,47000,medium,sell,Defansif
33,53000,medium,buy,Agresif
30,64000,long,hold,Agresif
67,62000,short,sell,Defansif
59,17000,short,buy,Dengeli
47,47000,medium,hold,Dengeli
36,17000,medium,sell,Defansif
34,43000,medium,hold,Agresif
73,46000,medium,buy,Dengeli
36,74000,medium,hold,Agresif
45,49000,long,sell,Dengeli
75,56000,medium,hold,Dengeli
72,69000,long,hold,Defansif
43,80000,long,buy,Agresif
54,46000,medium,hold,Defansif
43,52000,short,sell,Defansif
70,50000,short,buy,Defansif
40,36000,medium,sell,Defansif
26,30000,long,sell,Dengeli
29,17000,medium,hold,Dengeli
70,23000,medium,hold,Defansif
18,17000,medium,sell,Dengeli
75,81000,medium,hold,Dengeli
75,54000,medium,hold,Dengeli
18,46000,short,hold,Agresif
64,32000,long,buy,Agresif
51,50000,medium,hold,Dengeli
49,28000,short,sell,Defansif
71,54000,long,sell,Defansif
65,56000,short,buy,Dengeli
42,28000,long,sell,Dengeli
57,27000,long,hold,Dengeli
62,74000,long,hold,Dengeli
70,48000,long,hold,Dengeli
18,30000,medium,sell,Dengeli
33,40000,long,hold,Agresif
56,24000,medium,hold,Dengeli
22,48000,long,buy,Agresif
39,70000,long,sell,Dengeli
46,49000,long,hold,Agresif
72,109000,long,hold,Dengeli
20,60000,medium,hold,Agresif
29,55000,long,hold,Agresif
43,27000,medium,sell,Defansif
33,44000,long,sell,Dengeli
68,30000,medium,hold,Defansif
54,17000,medium,hold,Defansif
39,74000,medium,hold,Dengeli
74,37000,medium,sell,Defansif
46,30000,long,sell,Dengeli
31,55000,medium,sell,Dengeli
45,62000,medium,sell,Defansif
22,41000,medium,hold,Agresif
64,49000,long,buy,Agresif
66,68000,medium,sell,Defansif
47,40000,short,sell,Defansif
63,57000,short,sell,Defansif
69,17000,short,hold,Defansif
22,18000,medium,sell,Dengeli
29,65000,short,buy,Agresif
33,17000,short,hold,Defansif
43,55000,long,buy,Agresif
43,46000,long,buy,Agresif
65,40000,medium,hold,Defansif
38,29000,long,hold,Agresif
56,72000,short,sell,Defansif
53,93000,medium,hold,Dengeli
50,57000,medium,buy,Agresif
47,58000,medium,sell,Defansif
54,32000,medium,buy,Agresif
40,20000,medium,sell,Defansif
75,49000,medium,buy,Agresif
27,25000,long,buy,Agresif
71,17000,short,hold,Defansif
22,70000,short,hold,Dengeli
53,71000,short,hold,Dengeli
51,28000,medium,buy,Agresif
69,56000,medium,buy,Agresif
48,75000,short,hold,Dengeli
27,55000,long,hold,Agresif
75,20000,medium,hold,Defansif
36,44000,short,buy,Agresif
75,83000,medium,hold,Dengeli
49,56000,short,buy,Dengeli
18,63000,medium,hold,Agresif
73,58000,medium,sell,Defansif
22,28000,short,hold,Dengeli
62,34000,short,hold,Defansif
21,58000,medium,sell,Dengeli
33,70000,short,sell,Dengeli
41,77000,short,hold,Dengeli
33,28000,medium,sell,Defansif
72,60000,medium,sell,Defansif
19,79000,medium,hold,Dengeli
66,25000,medium,buy,Dengeli
45,87000,medium,hold,Dengeli
49,90000,short,buy,Agresif
44,115000,short,hold,Agresif
37,55000,long,sell,Dengeli
41,55000,medium,hold,Dengeli
29,70000,long,hold,Agresif
67,69000,medium,hold,Dengeli
52,78000,medium,sell,Defansif
50,69000,medium,hold,Dengeli
50,47000,medium,sell,Defansif
68,80000,medium,hold,Dengeli
60,23000,medium,sell,Defansif
54,50000,short,hold,Defansif
29,89000,medium,hold,Agresif
20,18000,long,sell,Dengeli
18,33000,long,hold,Agresif
50,66000,medium,hold,Dengeli
57,59000,medium,buy,Agresif
27,28000,short,buy,Agresif
60,39000,medium,hold,Dengeli
61,20000,medium,hold,Defansif
46,74000,long,sell,Dengeli
30,43000,medium,sell,Defansif
29,94000,medium,sell,Dengeli
48,52000,medium,hold,Dengeli
63,44000,long,sell,Defansif
19,42000,medium,sell,Defansif
68,43000,medium,hold,Dengeli
67,52000,long,hold,Agresif
52,112000,short,hold,Dengeli
40,41000,long,sell,Defansif
34,42000,short,hold,Dengeli
43,51000,long,hold,Agresif
25,77000,medium,hold,Agresif
46,17000,medium,sell,Defansif
43,61000,long,hold,Dengeli
27,29000,short,buy,Dengeli
43,63000,short,sell,Defansif
51,37000,medium,buy,Agresif
68,17000,medium,hold,Defansif
58,59000,medium,sell,Defansif
24,59000,short,hold,Agresif
21,35000,short,sell,Defansif
75,34000,short,sell,Defansif
70,17000,short,hold,Defansif
67,69000,medium,hold,Dengeli
62,72000,long,buy,Agresif
28,28000,long,hold,Agresif
46,36000,long,sell,Defansif
73,48000,short,hold,Defansif
53,106000,medium,hold,Agresif
42,63000,short,buy,Dengeli
38,26000,medium,buy,Agresif
74,57000,medium,buy,Dengeli
53,17000,short,hold,Dengeli
27,67000,short,hold,Dengeli
54,91000,long,sell,Dengeli
26,91000,medium,buy,Agresif
41,68000,medium,sell,Defansif
52,35000,short,sell,Defansif
66,17000,short,sell,Defansif
52,17000,long,hold,Dengeli
65,17000,short,hold,Defansif
53,67000,medium,hold,Dengeli
35,47000,short,buy,Agresif
66,72000,medium,buy,Agresif
56,85000,short,sell,Defansif
49,52000,long,sell,Defansif
41,53000,long,buy,Agresif
40,38000,long,buy,Agresif
49,41000,medium,hold,Dengeli
54,68000,long,hold,Dengeli
29,45000,medium,sell,Defansif
66,42000,medium,buy,Agresif
72,49000,medium,hold,Defansif
30,72000,short,hold,Dengeli
40,32000,short,sell,Defansif
42,48000,long,buy,Agresif
52,56000,short,hold,Defansif
58,79000,medium,sell,Defansif
47,44000,medium,hold,Agresif
34,32000,long,hold,Dengeli
66,37000,long,hold,Defansif
37,76000,long,hold,Agresif
65,100000,medium,hold,Dengeli
42,17000,short,buy,Dengeli
39,22000,medium,sell,Defansif
30,45000,short,sell,Defansif
36,52000,short,sell,Defansif
66,69000,medium,hold,Dengeli
53,27000,medium,hold,Dengeli
29,23000,long,buy,Agresif
58,53000,short,hold,Defansif
36,43000,medium,hold,Dengeli
29,73000,short,buy,Agresif
26,62000,long,sell,Agresif
24,63000,long,buy,Agresif
45,47000,long,hold,Agresif
31,108000,long,hold,Agresif
48,29000,medium,hold,Agresif
69,65000,medium,hold,Dengeli
36,18000,medium,sell,Defansif
75,23000,medium,hold,Defansif
64,34000,medium,hold,Dengeli
33,90000,medium,buy,Agresif
70,56000,long,hold,Dengeli
22,35000,long,buy,Agresif
52,59000,long,hold,Agresif
29,50000,long,hold,Agresif
42,37000,medium,hold,Defansif
69,17000,short,hold,Defansif
38,85000,short,buy,Agresif
53,55000,medium,hold,Dengeli
70,104000,long,hold,Agresif
40,73000,short,sell,Defansif
33,63000,long,hold,Agresif
74,39000,short,sell,Defansif
56,22000,medium,hold,Defansif
62,44000,medium,sell,Defansif
70,21000,short,sell,Defansif
59,66000,short,sell,Defansif
75,90000,medium,sell,Defansif
56,43000,long,sell,Agresif
31,73000,medium,buy,Agresif
48,32000,medium,hold,Dengeli
75,42000,medium,hold,Defansif
22,29000,short,hold,Agresif
52,17000,long,sell,Dengeli
40,49000,short,buy,Agresif
46,53000,long,sell,Dengeli
60,76000,medium,sell,Defansif
28,69000,long,hold,Agresif
35,70000,short,sell,Defansif
64,25000,medium,hold,Dengeli
29,61000,short,hold,Dengeli
26,89000,short,hold,Agresif
27,59000,medium,hold,Agresif
75,95000,short,sell,Defansif
61,100000,medium,hold,Dengeli
34,43000,short,sell,Defansif
55,32000,medium,hold,Dengeli
24,30000,long,sell,Agresif
63,17000,medium,hold,Defansif
30,37000,medium,hold,Agresif
57,80000,medium,hold,Dengeli
59,17000,long,buy,Agresif
26,24000,medium,buy,Agresif
67,46000,medium,hold,Dengeli
44,28000,long,hold,Dengeli
75,36000,long,sell,Defansif
19,37000,medium,hold,Dengeli
22,43000,medium,sell,Dengeli
46,31000,long,sell,Defansif
54,29000,medium,buy,Dengeli
55,73000,short,hold,Dengeli
36,76000,short,hold,Dengeli
25,17000,long,sell,Dengeli
65,17000,medium,hold,Defansif
62,76000,long,sell,Dengeli
18,19000,medium,sell,Defansif
39,55000,medium,sell,Defansif
69,17000,short,hold,Defansif
34,82000,short,hold,Agresif
24,113000,long,sell,Agresif
42,54000,long,hold,Agresif
62,47000,medium,sell,Defansif
21,41000,medium,hold,Agresif
53,69000,medium,buy,Agresif
23,64000,medium,hold,Agresif
48,75000,medium,buy,Agresif
36,34000,short,buy,Agresif
61,58000,medium,hold,Dengeli
71,36000,long,hold,Dengeli
56,23000,long,buy,Agresif
44,48000,short,hold,Defansif
27,26000,long,sell,Dengeli
43,79000,medium,buy,Agresif
36,28000,medium,hold,Agresif
56,59000,short,sell,Defansif
20,34000,medium,hold,Agresif
62,56000,medium,hold,Dengeli
30,36000,medium,hold,Agresif
67,18000,long,hold,Defansif
45,62000,long,hold,Dengeli
75,44000,medium,hold,Defansif
37,57000,long,hold,Agresif
45,39000,medium,hold,Agresif
25,17000,short,hold,Defansif
58,77000,medium,hold,Dengeli
56,68000,short,hold,Defansif
18,35000,medium,hold,Dengeli
20,51000,short,buy,Agresif
30,76000,short,sell,Defansif
45,38000,long,sell,Defansif
74,42000,medium,hold,Defansif
66,56000,medium,buy,Agresif
42,38000,short,sell,Defansif
73,71000,medium,sell,Defansif
50,45000,medium,sell,Defansif
55,30000,long,hold,Agresif
70,65000,medium,sell,Defansif
23,21000,short,hold,Dengeli
75,100000,medium,hold,Dengeli
61,89000,short,buy,Dengeli
62,62000,medium,hold,Dengeli
49,60000,medium,sell,Defansif
62,59000,long,hold,Dengeli
64,37000,short,buy,Dengeli
38,57000,medium,hold,Agresif
33,26000,short,buy,Dengeli
71,62000,medium,buy,Agresif
38,71000,medium,sell,Defansif
28,40000,long,hold,Agresif
54,35000,short,sell,Defansif
53,19000,short,hold,Defansif
52,86000,medium,sell,Dengeli
36,37000,short,sell,Defansif
37,45000,short,buy,Agresif
74,57000,medium,sell,Defansif
35,57000,short,buy,Agresif
64,68000,short,sell,Defansif
58,40000,long,sell,Defansif
66,21000,medium,buy,Dengeli
31,17000,short,hold,Dengeli
32,35000,medium,hold,Dengeli
48,26000,medium,sell,Defansif
18,42000,medium,hold,Agresif
70,82000,medium,hold,Dengeli
71,40000,short,hold,Defansif
71,40000,medium,hold,Defansif
20,49000,medium,buy,Agresif
33,39000,medium,hold,Dengeli
40,48000,long,buy,Agresif
74,63000,medium,hold,Dengeli
28,72000,medium,hold,Agresif
29,75000,medium,sell,Agresif
27,101000,medium,hold,Agresif
49,64000,short,buy,Dengeli
33,105000,short,sell,Defansif
25,30000,long,sell,Dengeli
55,102000,medium,sell,Defansif
29,40000,medium,sell,Defansif
41,42000,medium,buy,Agresif
45,47000,medium,buy,Agresif
70,44000,short,hold,Defansif
25,52000,long,sell,Dengeli
75,35000,short,hold,Defansif
45,70000,long,hold,Agresif
53,36000,long,buy,Agresif
43,66000,long,hold,Agresif
25,88000,medium,sell,Dengeli
75,41000,short,hold,Defansif
67,69000,medium,buy,Agresif
45,63000,medium,hold,Agresif
45,106000,medium,hold,Agresif
54,37000,long,sell,Defansif
58,69000,medium,hold,Dengeli
53,17000,medium,hold,Dengeli
44,37000,medium,sell,Defansif
71,58000,medium,hold,Defansif
34,84000,medium,sell,Defansif
